date,daily_sentiment_score,news_count
2016-10-03,2.0165158e-10,2
2016-10-04,-0.500537,4
2016-10-05,-0.9998386,1
2016-10-06,-0.6396866,1
2016-10-07,-0.38452744,2
2016-10-10,-0.99914455,1
2016-10-11,-0.9960038,1
2016-10-12,-0.7599514,1
2016-10-13,-0.89166653,4
2016-10-14,-0.5286575,2
2016-10-15,-0.99985105,1
2016-10-16,-0.54204434,1
2016-10-17,-0.99917084,1
2016-10-18,-0.63981885,6
2016-10-19,-0.9999247,3
2016-10-20,0.8293999,1
2016-10-21,0.9999671,1
2016-10-22,-0.7477352,1
2016-10-24,-0.220184,1
2016-10-26,-0.0015817889,1
2016-10-27,-0.0023495555,2
2016-10-28,-0.9948147,3
2016-11-02,-0.99732375,3
