Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2023-03-27,27995.16,28045.33,26551.46,27146.01,45933.42,1256153698.38,-0.030332028822125046,0.030332028822125046
2023-03-28,27146.01,27527.5,26638.39,27266.08,36875.77,997573892.51,0.004423117798895815,0.004423117798895815
2023-03-29,27266.08,28643.21,27254.72,28355.7,49571.43,1396887121.69,0.03996247352021265,0.03996247352021265
2023-03-30,28355.7,29171.13,27735.19,28040.71,58696.25,1666973949.92,-0.011108524917388785,0.011108524917388785
2023-03-31,28040.71,28651.82,27552.64,28474.62,45335.87,1278854661.75,0.01547428720599453,0.01547428720599453
2023-04-01,28474.62,28816.74,28263.72,28468.49,15689.96,446928904.2,-0.00021527943129695526,0.00021527943129695526
2023-04-02,28468.49,28537.18,27885.3,28187.85,16366.29,461356032.51,-0.009857916594803728,0.009857916594803728
2023-04-03,28187.85,28498.51,27292.3,27809.04,47462.93,1328993515.18,-0.013438768831251724,0.013438768831251724
2023-04-04,27809.04,28441.54,27671.89,28177.23,32404.02,911124090.2,0.013239939242778664,0.013239939242778664
2023-04-05,28177.23,28766.02,27843.06,28180.06,37846.93,1072312476.98,0.00010043570641982136,0.00010043570641982136
2023-04-06,28180.06,28191.21,27736.36,28043.49,26094.3,730428566.02,-0.0048463346068106095,0.0048463346068106095
2023-04-07,28043.49,28110.82,27786.82,27927.8,14575.83,407205241.71,-0.004125378118058909,0.004125378118058909
2023-04-08,27927.8,28168.77,27879.51,27953.93,9261.95,259437156.74,0.000935626866419792,0.000935626866419792
2023-04-09,27953.93,28539.41,27825.42,28340.68,16329.18,459285638.27,0.013835263950364052,0.013835263950364052
2023-04-10,28340.68,29776.84,28179.73,29655.75,41851.84,1211248945.3,0.04640220347571056,0.04640220347571056
2023-04-11,29655.75,30558.49,29612.35,30226.45,47151.42,1420381272.66,0.019244160070138294,0.019244160070138294
2023-04-12,30226.45,30499.62,29710.91,29905.56,36421.26,1094799669.68,-0.010616198726611903,0.010616198726611903
2023-04-13,29905.56,30603.93,29881.9,30407.76,31936.33,967351995.59,0.016792863935669367,0.016792863935669367
